w,c,zh,en,us,core,ex,exz
oppress,ə'pres,v. 压迫，压制；压抑,"v. to treat a group of people unfairly or cruelly, and prevent them from having the same rights that other people in society have",ə'prɛs,,native tribes oppressed by the authorities,受到当局压迫的土著部落
flabby,'flæbɪ,adj. (肌肉)不结实的；软弱的,adj. used to describe something that is weak or not effective,'flæbi,,intellectually flabby arguments,说不通的论据
essay,'eseɪ,n. 文章，小品文，随笔,"n. a short piece of writing giving someone’s ideas about politics, society etc",'ɛse,【短语】essay test (n. 申论方式测验),We asked Jason to write an essay about his hometown.,我们让杰森写一篇关于他家乡的短文。
racket,'rækɪt,n. 吵闹声；球拍,n. a loud noise,'rækɪt,"【记忆】这副球拍(racket)被火箭(rocket)带入过太空 | 【短语】tennis racket (网球拍；网坛骗局), badminton racket (羽毛球拍)",The old machine used to make an awful racket .,这台旧机器以前噪音大得吓人。
flaw,flɔː,n. 缺点，瑕疵,"n. a mistake, mark, or weakness that makes something imperfect",flɔ,"【短语】flaw detection (探伤检验；缺陷检验), flaw detector (探伤仪；裂痕探测仪), ultrasonic flaw detector ([工]超声波探伤仪)",A design flaw (= a mistake or weakness in the way something was made ) caused the engine to explode.,一个设计缺陷导致了引擎爆炸。
nominate,'nɒmɪneɪt,v. 提名,"v. to officially suggest someone or something for an important position, duty, or prize",'nɑmɪnet,,This week one of them will be nominated by the Democratic Party for the presidency of the United States.,本周他们中的一人将被民主党提名为美国总统职位的候选人。
syllabus,'sɪləbəs,n. 教学大纲,n. a plan that states exactly what students at a school or college should learn in a particular subject,'sɪləbəs,,"The course syllabus consisted mainly of novels by African-American authors, male and female.",该课程的教学大纲主要包括了非裔美国男女作家的小说。
stiff,stɪf,adj. 坚硬的；费劲的；不易弯的,"adj. firm, hard, or difficult to bend",stɪf,"【记忆】可与still(a. 静止的)一起记 | 【短语】stiff with ([俚语]…供应充足的), stiff neck (脖子发僵，斜颈；顽固之人), stiff upper lip (坚定沉着；不露感情)",a shirt with a stiff collar,领子挺括的衬衫
toxic,'tɒksɪk,adj. 有毒的，中毒的,"adj. containing poison, or caused by poisonous substances",'tɑksɪk,"【记忆】“逃(一)个是(一)个” → 酒里有毒， 快逃 → 有毒的 | 【短语】toxic gas (n. 毒气), toxic effect (毒性作用；毒效), highly toxic (剧毒；高毒性的)",fumes from a toxic waste dump,有毒废料堆产生的毒气
rampant,'ræmp(ə)nt,adj. (指植物)繁茂的；蔓生的；不能控制的,"adj. a plant that is rampant grows and spreads quickly, in a way that is difficult to control",'ræmpənt,【短语】run rampant (猖狂；泛滥成灾),Pickpocketing is rampant in the downtown area.,闹市区扒窃活动猖獗。
propulsion,,n. 推进，推进力,,,,But magnetic propulsion has some drawbacks.,但是磁力推进有一些缺陷。
telling,'telɪŋ,adj. 有效的；有力的,adj. having a great or important effect,'tɛlɪŋ,【短语】there is no telling (难以预料；很难说),a telling argument,有说服力的论点
throughout,θruː'aʊt,prep. 遍及,"prep. in every part of a particular area, place etc",θrʊ'aʊt,,a large organization with offices throughout the world,在世界各地都设有办事处的一家大型机构
highlight,'haɪlaɪt,n. 光线最强处，最突出部分,"n. the most important, interesting, or enjoyable part of something such as a holiday, performance, or sports competition",'haɪlaɪt,【记忆】high(高的) + light(发光) → 高调地发光 → 强调， 突出,...a match that is likely to prove one of the highlights of the tournament.,…可能是本届锦标赛最精彩的赛事之一。
devise,dɪ'vaɪz,v. 设计，想出,v. to plan or invent a new way of doing something,dɪ'vaɪz,【记忆】科学家发明(devise)出许多现代化的机械设备(device),She devised a method for quicker communications between offices.,她想出一种加快办公室之间通信联络的方法。
wield,wiːld,v. 使用，行使,"v. to have a lot of power or influence, and to use it",wild,【短语】wield power (行使权力),The Church wields immense power in Ireland.,在爱尔兰，教会操纵着大权。
enormous,ɪ'nɔːməs,adj. 巨大的，庞大的,adj. very big in size or in amount,ɪ'nɔrməs,【记忆】e(出) + norm(规范) + ous(形容词后缀) → 超出规范的 → 巨大的,an enormous bunch of flowers,巨大的花束
fade,feɪd,v. (使)褪色，逐渐消失,v. to gradually disappear,fed,"【记忆】褪色(fade)的记忆何以面对(face) | 【短语】fade away (逐渐消失), fade out (v. 淡出；渐弱), fade in (淡入；渐显)",Hopes of a peace settlement are beginning to fade.,达成和平协议的希望日渐渺茫。
exhilarate,ɪg'zɪləreɪt; eg-,v. 使振奋，使高兴,v. to make someone feel very excited and happy,ɪɡ'zɪləret,,,
slum,slʌm,n. 平民窟; 陋巷,,slʌm,,a slum area,贫民区
peer,pɪə,n. 同等；同辈；v. 凝视,"n. your peers are the people who are the same age as you, or who have the same type of job, social class etc；v. to look very carefully at something, especially because you are having difficulty seeing it",pɪr,"【短语】peer review (同业互查), peer to peer (对等的；[计]端对端), peer pressure (来自同辈的压力)",American children did less well in math than their peers in Japan.,美国儿童的数学成绩不如日本的同龄儿童。
slogan,'sləʊg(ə)n,n. 标语，口号,"n. a short phrase that is easy to remember and is used in advertisements, or by politicians, organizations etc",'slogən,【记忆】s + log(说) + an → 标语， 口号,an advertising slogan,一句广告口号
transaction,træn'zækʃ(ə)n; trɑːn-; -'sæk-,n. 办理，处理；执行；事务，事项，交易,"n. a business deal or action, such as buying or selling something",træn'zækʃən,"【记忆】trans(穿过) + act(做) + ion → 在两者之间进行 → 交易 | 【短语】transaction cost (交易成本，交易费用), transaction processing ([计]事务处理), business transaction (商业交易；[经]经济业务)",The bank charges a fixed rate for each transaction.,银行对每一笔业务收取固定费用。
incorporate,ɪn'kɔːpəreɪt,v. 结合，合并，组成公司,,,【记忆】in(进入) + corp(身体) + orate → 进入身体成为一部分 → 把…合并 | 【短语】incorporate with (合并；混合),,
discard,dɪ'skɑːd,v. 抛弃，遗弃,"v. If you discard something, you get rid of it because you no longer want it or need it",dɪsˈkɑːrd,【记忆】dis(分离) + card(纸牌) → 出牌， 把牌扔出去 → 丢弃， 遗弃 | 【短语】into the discard (废弃不用；被遗弃),Read the manufacturer's guidelines before discarding the box.,先阅读制造商的说明书再把盒子丢掉。
grope,grəʊp,v. 暗中摸索,v. to try to find something that you cannot see by feeling with your hands,ɡrop,【记忆】g + rope(绳子) → 抓住绳子向前走 → (暗中)摸索 | 【短语】grope for (v. 探索),"With his left hand he groped for the knob, turned it, and pulled the door open.",他用左手摸索到门把手，转动把手，把门拉开。
triple,'trɪp(ə)l,adj. 三部分合成的，三方的；vt&vi. 增至三倍,"adj. having three parts or involving three groups, people, events etc；vt&vi. to increase by three times as much, or to make something do this",'trɪpl,"【记忆】tri(三) + ple → 三部分的， 三倍的 | 【短语】triple jump (三级跳远), triple integral (三重积分), triple point (三相点)",a triple murder investigation,对一宗三重谋杀案的调查
variety,və'raɪətɪ,n. 多样化；种；变种；综艺演出,n. a lot of things of the same type that are different from each other in some way,və'raɪəti,"【记忆】var(改变， 变化) + iety → 有很多变化 → 品种； 变化 | 【短语】variety of (各种各样的), product variety (货品种类，产品种类；产品多样化；积簇), a great variety of (各种各样的；大量的)",The girls come from a variety of different backgrounds.,这些女孩出身背景各不相同。
detrimental,",detrɪ'ment(ə)l",adj. 有害的，不利的,adj. causing harm or damage,",dɛtrɪ'mɛntl",【记忆】detriment(损害， 伤害) + al(形容词后缀) → 不利的， 有害的,the detrimental effect of pollution on the environment,污染对环境的不利影响
hitherto,hɪðə'tuː; 'hɪðətuː,adv. 到目前为止，迄今,adv. up to this time,",hɪðɚ'tu",【记忆】hit(打) + her + to → 迄今为止， 他的爱还没有打动她 → 到目前为止， 迄今,a species of fish hitherto unknown in the West,迄今在西方还不为人知的一种鱼
indispensable,ɪndɪ'spensəb(ə)l,adj. 必不可少的，必需的,adj. someone or something that is indispensable is so important or useful that it is impossible to manage without them,'ɪndɪ'spɛnsəbl,【记忆】in(不) + dispensable(可有可无的) → 不是可有可无的 → 必不可少的， 必需的,Mobile phones have become an indispensable part of our lives.,移动电话已经成为我们生活中的必需品。
porcelain,'pɔːs(ə)lɪn,n. 瓷器,"n. a hard shiny white substance that is used for making expensive plates, cups etc",ˈpɔrsələn,"【短语】pottery and porcelain (陶瓷；陶瓷器), blue and white porcelain (青花瓷；青花瓷器), red porcelain (紫砂)",a porcelain vase,瓷花瓶
mania,'meɪnɪə,n. 疯狂；躁狂症，狂热，癖好,"n. a strong desire for something or interest in something, especially one that affects a lot of people at the same time",'menɪə,,The mania for dinosaurs began in the late 1800s.,恐龙热兴起于19世纪晚期。
neurosis,",njʊə'rəʊsɪs",n. 神经官能病，精神性神经病,n. a mental illness that makes someone unreasonably worried or frightened,nʊ'rosɪs,【短语】anxiety neurosis (焦虑性神经机能病),He was anxious to the point of neurosis.,他的忧虑达到了神经机能病症状的程度。
dot,dɒt,n. 小点，小圆点；v. 加上小点，散布于，点缀,n. a small round mark or spot；v. to mark something by putting a dot on it or above it,dɑt,"【记忆】和pot(n. 壶)一起记； pot(壶)上有许多可爱的dot(小圆点) | 【短语】on the dot (正点，准时地), dot with (用…点缀于；散布), dot matrix (点阵)",a pattern of dots,圆点图案
utterly,'ʌtəlɪ,adv. 完全地，十足地,"adv. completely – used especially to emphasize that something is very bad, or that a feeling is very strong",'ʌtɚli,,You look utterly miserable.,你看起来很痛苦。
evaporate,ɪ'væpəreɪt,v. 使蒸发，使脱水，消失,"v. if a liquid evaporates, or if heat evaporates it, it changes into a gas",ɪ'væpəret,【记忆】e(出) + vapor(水汽) + ate(使…) → 使水汽出去 → 蒸发,Most of the water had evaporated.,大部分的水都蒸发了。
quest,kwest,n. 寻找，追求,n. a long search for something that is difficult to find,kwɛst,"【短语】quest for (追求；探索，设法找到), in quest of (探寻，寻求；为了追求……)",They journeyed to the distant Molucca islands in quest of spices.,他们远赴摩鹿加群岛寻找香料。
coarse,kɔːs,adj. 粗(糙)的; 粗俗的,adj. having a rough surface that feels slightly hard,kɔrs,"【记忆】coar(看作coal， 煤炭) + se → 煤炭是很粗糙的 → 粗糙的 | 【短语】coarse aggregate (粗集料；粗骨料), coarse grain (n. 谷粒；粗晶粒；饲料用谷类), coarse grained (粗纹理的；粗颗粒的)",a jacket of coarse wool,粗羊毛夹克衫
resume,rɪˈzjuːm; ˈrɛzjʊmeɪ,v. 重新开始；继续；重新占用,v. to start doing something again after stopping or being interrupted,,【记忆】re(又， 再) + sum(拿， 取) + e → 重新拿起 → 重新开始 | 【短语】personal resume (个人简历),She hopes to resume work after the baby is born.,她想生完孩子后继续工作。
